g,a_g,eta_fixed,eta_H_matched,eta_A_matched,A_residual_relative,sample_operator_rms_residual_relative,T_update_residual_relative,E_fixed_K20,E_fixed_K50,E_fixed_K100,E_fixed_K200,E_fixed_K500,E_fixed_K1000,E_H_matched_K20,E_H_matched_K50,E_H_matched_K100,E_H_matched_K200,E_H_matched_K500,E_H_matched_K1000,E_A_matched_K20,E_A_matched_K50,E_A_matched_K100,E_A_matched_K200,E_A_matched_K500,E_A_matched_K1000
1.0,1.0,7.408336149524141e-06,7.408336149524141e-06,7.408336149524141e-06,0.0,0.0,0.0,0.00021478072611309508,0.00024120955201019313,0.0002995736795655347,0.0004987052787977172,0.003263564299487319,0.09936663639182985,0.00021478072611309508,0.00024120955201019313,0.0002995736795655347,0.0004987052787977172,0.003263564299487319,0.09936663639182985,0.00021478072611309508,0.00024120955201019313,0.0002995736795655347,0.0004987052787977172,0.003263564299487319,0.09936663639182985
1.05,1.0498972619950657,7.408336149524141e-06,6.720894450327979e-06,7.056248661365648e-06,5.917447215177353e-07,5.096726168513687e-07,1.3596959852735165e-06,0.00021764244221319975,0.0002501765056663143,0.00032569871699317634,0.0006095997134955731,0.005930132136904443,0.3370041005561665,0.0002122929136028121,0.00023367977536854398,0.0002788676277908195,0.00042042078766727485,0.0019357333823405085,0.033559545372020334,0.00021478074901254255,0.00024120961174171706,0.000299573810822769,0.0004987056225385306,0.0032635673677217443,0.0993667372215029
1.1,1.0997847394182312,7.408336149524141e-06,6.124988875349324e-06,6.736169255670009e-06,1.1836052650893649e-06,1.0194449907607714e-06,2.719658102125761e-06,0.00022077424595066017,0.00026036878176203995,0.00035732974494500947,0.0007619640659710453,0.011290615634930664,1.2408287847000403,0.00021022249537393025,0.0002275996983644573,0.0002629689713821539,0.00036607934492464576,0.0012559147505514523,0.013384688631597566,0.00021478077191649147,0.0002412096714849817,0.00029957394210580073,0.0004987059663469016,0.0032635704365596564,0.09936683807104865
1.15,1.1496624322694975,7.408336149524141e-06,5.6050566145550635e-06,6.443922965195683e-06,1.7755816647000098e-06,1.5293171510138752e-06,4.0798864284411915e-06,0.00022419274140755087,0.0002719520458264127,0.0003957777600111908,0.0009738543856701804,0.02246905059718526,4.956407882341427,0.00020848408299111554,0.00022262420208560068,0.00025050451195456145,0.00032698033104478635,0.0008783113390855123,0.006133144498212584,0.00021478079482493937,0.0002412097312399792,0.00029957407341460565,0.0004987063102227245,0.003263573505998778,0.09936693894031899
1.2,1.1995303405488655,7.408336149524141e-06,5.148707383598972e-06,6.176030650574733e-06,2.367673954374378e-06,2.039289126911289e-06,5.44038104362391e-06,0.00022791628205746142,0.000285120280103271,0.0004427167965418525,0.0012722359030727796,0.04665762472586658,21.467687915781074,0.00020701302723271733,0.00021850561438116115,0.00024055855837410459,0.00029799143994149757,0.0006539327295708918,0.0031619513695152444,0.00021478081773789102,0.0002412097910067236,0.0002995742047492221,0.0004987066541661424,0.003263576576041736,0.09936703982947381
1.25,1.2493884642563373,7.408336149524141e-06,4.74597780367352e-06,5.9295698347381015e-06,2.959882168154937e-06,2.5493609477646916e-06,6.801142024558575e-06,0.00023196512243861458,0.00030010086226483004,0.0005002943844409676,0.0016978418992216907,0.1009800625268685,100.78039241489873,0.0002057596284391594,0.00021506231598495123,0.0002325019226590042,0.0002759476930056344,0.0005128775804794349,0.0018046726553288487,0.00021478084065534452,0.00024120985078520838,0.00029957433610962797,0.0004987069981770546,0.0032635796466862622,0.09936714073836517
1.3,1.2992368033919088,7.408336149524141e-06,4.388782503247369e-06,5.70206765247355e-06,3.552206340079388e-06,3.059532642903713e-06,8.162169450222357e-06,0.0002363615872888446,0.0003171606648900698,0.0005712787408355118,0.0023129210733208385,0.2276121862822997,512.5676001381024,0.00020468515708387623,0.00021215856892609793,0.00022589081951074702,0.00025882106640001977,0.00041990173144702304,0.0011255595960815228,0.00021478086357730315,0.00024120991057544254,0.0002995744674958478,0.0004987073422555491,0.0032635827179339377,0.09936724166708721
1.35,1.3490753579555808,7.408336149524141e-06,4.070504784249127e-06,5.491417588970642e-06,4.144646504222831e-06,3.5698042416646106e-06,9.5234633982747e-06,0.00024113025996610002,0.0003366133918827508,0.0006592558174773304,0.00321372509084152,0.5340442169691131,2823.0431765830817,0.00020375906305578433,0.00020969120336018494,0.00022040495363594975,0.00024526803179651446,0.0003561088893958084,0.0007586696817477831,0.00021478088650376916,0.00024120997037743334,0.0002995745989078992,0.0004987076864016852,0.0032635857897856555,0.09936734261568986
1.4,1.398904127947357,7.408336149524141e-06,3.785687721849448e-06,5.295814060106146e-06,4.7372026946361065e-06,4.0801757733876705e-06,1.0885023947281822e-05,0.00024629819220298437,0.0003588284171112512,0.0007688943264302389,0.004550857885649356,1.303809540036904,16829.6564372496,0.0002029569829465955,0.00020758061849212434,0.0002158084084815004,0.00023437217097979868,0.0003108175960581165,0.0005471301862068371,0.0002147809094347421,0.00024121003019117817,0.0002995747303457737,0.0004987080306154227,0.0032635888622405095,0.0993674435841124
1.45,1.4487231133672316,7.408336149524141e-06,3.529798490962117e-06,5.113700527842844e-06,5.329874945443565e-06,4.590647267442249e-06,1.224685117614757e-05,0.0002518951374950014,0.00038424145134250716,0.0009063038840674268,0.006562803977071917,3.3110821515769375,108546.84463980184,0.00020225929381048323,0.0002057645680381431,0.00021192424698407897,0.00022549211044065325,0.0002777067158430587,0.00041819930693081254,0.00021478093237022288,0.000241210090016679,0.00029957486180947344,0.0004987083748967531,0.0032635919352980076,0.09936754457231758
1.5,1.4985323142152076,7.408336149524141e-06,3.299046731880043e-06,4.943727992548456e-06,5.922663290720564e-06,5.1012187531928585e-06,1.3608945162913305e-05,0.0002579538107030262,0.00041336743893615445,0.001079521303935637,0.009631788357302062,8.744240643367249,757057.8074169713,0.0002016500479409126,0.00020419378512966777,0.00020861760459752783,0.00021816861798987762,0.00025288273285978453,0.0003357859151152037,0.00021478095531021467,0.00024121014985394528,0.00029957499329902283,0.0004987087192457662,0.0032635950089597346,0.09936764558039915
