method,training_seed,budget_kimg,nfe,mid_t,sampling_seed,num_generated,kid_5k,fid_5k,checkpoint_sha256,metric_source,run_dir,training_summary_csv,training_summary_available,training_processed_kimg,training_attempted_iterations,training_successful_optimizer_steps,training_successful_steps_valid,training_amp_skipped,training_amp_skip_rate,training_amp_skip_telemetry_complete,training_nan_count,training_inf_count,training_trailing_loss_mean,training_trailing_loss_std,training_final_loss,adaptive_active,final_correction,correction_abs_max,correction_saturation_fraction,correction_sign_changes,correction_bound_valid,final_r_over_t_mean,final_gap_mean,pair_ratio_valid,pair_gap_valid,controller_telemetry_complete
sigmoid,1,32,2,0.821,0-4999,5000,0.215143412352,216.320162005,e5cc717d278bcd9d5ab7930486c22ce1a81e915a502deb31e6265a3e4e126b90,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T063952Z-seed1,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed1_5344a5c9/train_summary.csv,true,32,250,241,true,9,0.036,true,0,0,17.305682112,1.22564328049,18.0442518,false,0,0,0,0,true,0.985528614338,0.0144713856619,true,true,true
adaptive_v1,2,32,2,0.821,0-4999,5000,0.428483128548,379.053379808,1c2e266d2e9c02459f10fbbe53c1497e8df8c656d54ea53b6c7ab69c9b3c8060,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed2_5344a5c9/train_summary.csv,true,32,250,241,true,9,0.036,true,0,0,24.1544348232,1.50580818546,22.06750774,true,-0.0227549678244,0.0292207042167,0,0,true,0.962577599901,0.0374224000993,true,true,true
sigmoid,2,32,2,0.821,0-4999,5000,0.421430677176,374.854800946,3f1bf37bf6512751ab55bc89ad1971c98679c79d5b5979d20b4730d62c64e420,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T065023Z-seed2,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed2_5344a5c9/train_summary.csv,true,32,250,240,true,10,0.04,true,0,0,21.5642970904,1.19759965026,20.25287247,false,0,0,0,0,true,0.985956209234,0.0140437907661,true,true,true
adaptive_v1,0,64,1,,0-4999,5000,0.487248659134,429.745804406,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed0_5344a5c9/train_summary.csv,true,64,500,491,true,9,0.018,true,0,0,17.5706528092,1.09450606058,17.40285218,true,-0.00425934223343,0.0254429754712,0,0,true,0.98075282961,0.0192471703898,true,true,true
sigmoid,0,64,1,,0-4999,5000,0.487805515528,429.590474191,514b67696ca911ccdd9e16c5cce93d91e2c2c77433a82a2c2b8c0ae0b410dc9f,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T062924Z-seed0,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed0_5344a5c9/train_summary.csv,true,64,500,491,true,9,0.018,true,0,0,17.9526588008,1.15760348105,17.61016238,false,0,0,0,0,true,0.98520666829,0.0147933317102,true,true,true
adaptive_v1,1,64,1,,0-4999,5000,0.475448429585,418.421415222,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed1_5344a5c9/train_summary.csv,true,64,500,491,true,9,0.018,true,0,0,16.4835340978,0.843315112918,16.27367294,true,-6.1981075949e-05,0.0143095284118,0,2,true,0.985948117416,0.0140518825837,true,true,true
sigmoid,1,64,1,,0-4999,5000,0.475123345852,418.230885106,bb98925649c0267064210a069887ae9b5dd3eff26727651318818ac2d46c09f9,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T063952Z-seed1,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed1_5344a5c9/train_summary.csv,true,64,500,490,true,10,0.02,true,0,0,16.5298642422,0.850293990497,16.26046371,false,0,0,0,0,true,0.985948594077,0.0140514059233,true,true,true
adaptive_v1,2,64,1,,0-4999,5000,0.519976496696,437.985043809,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed2_5344a5c9/train_summary.csv,true,64,500,491,true,9,0.018,true,0,0,18.3988790182,0.999858794493,19.5012238,true,-0.00683546046077,0.0292207042167,0,0,true,0.978546535402,0.0214534645976,true,true,true
sigmoid,2,64,1,,0-4999,5000,0.519060134888,437.319543602,73c5b0c7b3e5130a76f80d26cb30e6969d049d941ac0e6568ee16f7c1d5bc925,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T065023Z-seed2,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed2_5344a5c9/train_summary.csv,true,64,500,490,true,10,0.02,true,0,0,19.2340954206,1.02850715219,20.15732801,false,0,0,0,0,true,0.985348618008,0.0146513819924,true,true,true
adaptive_v1,0,64,2,0.821,0-4999,5000,0.406898081303,365.507492943,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T063437Z-seed0,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed0_5344a5c9/train_summary.csv,true,64,500,491,true,9,0.018,true,0,0,17.5706528092,1.09450606058,17.40285218,true,-0.00425934223343,0.0254429754712,0,0,true,0.98075282961,0.0192471703898,true,true,true
sigmoid,0,64,2,0.821,0-4999,5000,0.405948251486,364.870998714,514b67696ca911ccdd9e16c5cce93d91e2c2c77433a82a2c2b8c0ae0b410dc9f,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T062924Z-seed0,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed0_5344a5c9/train_summary.csv,true,64,500,491,true,9,0.018,true,0,0,17.9526588008,1.15760348105,17.61016238,false,0,0,0,0,true,0.98520666829,0.0147933317102,true,true,true
adaptive_v1,1,64,2,0.821,0-4999,5000,0.274910926819,263.317393435,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T064507Z-seed1,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed1_5344a5c9/train_summary.csv,true,64,500,491,true,9,0.018,true,0,0,16.4835340978,0.843315112918,16.27367294,true,-6.1981075949e-05,0.0143095284118,0,2,true,0.985948117416,0.0140518825837,true,true,true
sigmoid,1,64,2,0.821,0-4999,5000,0.284072309732,270.979412918,bb98925649c0267064210a069887ae9b5dd3eff26727651318818ac2d46c09f9,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T063952Z-seed1,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed1_5344a5c9/train_summary.csv,true,64,500,490,true,10,0.02,true,0,0,16.5298642422,0.850293990497,16.26046371,false,0,0,0,0,true,0.985948594077,0.0140514059233,true,true,true
adaptive_v1,2,64,2,0.821,0-4999,5000,0.433810949326,380.971307571,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/adaptive-v1-traj64-5344a5c9-20260722T065540Z-seed2,/mnt/ect_project/runs/packaged-traj64/adaptive_v1_traj64_seed2_5344a5c9/train_summary.csv,true,64,500,491,true,9,0.018,true,0,0,18.3988790182,0.999858794493,19.5012238,true,-0.00683546046077,0.0292207042167,0,0,true,0.978546535402,0.0214534645976,true,true,true
sigmoid,2,64,2,0.821,0-4999,5000,0.428162544966,377.604781356,73c5b0c7b3e5130a76f80d26cb30e6969d049d941ac0e6568ee16f7c1d5bc925,Role-A formal run manifests: sample_seeds=0-4999; sample_count=5000; metric_seed=20260722,/root/ect-runs/paired-training-v1-canonical/sigmoid-traj64-5344a5c9-20260722T065023Z-seed2,/mnt/ect_project/runs/packaged-traj64/sigmoid_traj64_seed2_5344a5c9/train_summary.csv,true,64,500,490,true,10,0.02,true,0,0,19.2340954206,1.02850715219,20.15732801,false,0,0,0,0,true,0.985348618008,0.0146513819924,true,true,true
